Username,Comment
@williamliu93,Great job for making such a clear tutorial! I just deployed my first app:)
@cubasdf,very good!
@crazyrama6521,I am unable to deploy my app. Iam new to use streamlit. I have used pyrebase .say the solution
@_._Harsh_._,Thank you so much! This was very much needed!! <3
@shahrukhahmad4127,"Superb and easy to use, thanks a ton man!"
@kelvinndeti5482,Thankyou bro i really needed this
@BaljeetSingh-nx4cf,It's showing me you do not have access to this app or it does not exist
@haibarbie,Fast and easy. Thanksss
@nkipa,"Thanks, great video"
@GeekendZone,Thanks!
@anurajms,thank you
@user-uz9ck6pj1w,can you show how to deploy streamlit cloud app that leverages selenium chrome (headless) thanks!
@user-ph3ir7tk9b,thank you!
@joschomo1010,"Very useful, but what if you made your app on windows? Ie, the requirements.txt has alot of libraries that are not compatible with streamlit linux enviroment."
@luisfernandoperezarmas7198,Thank you so much 😁
@Aditya-xg6er,My app have db also. I am thinking of adding functionality to upload files and folder also. Will that be deployable their.
@anushkarai5564,Thank you thank you so much. Today I have built the app and finally deployed it just because of you ❤. Thank you veryyyy much 😊
@gautam3945,Thank You Sir!
@user-ig9ie8go8j,Thanks!!
@Chandude,How can I deploy without exposing my credentials?
@sheikhobada8305,Great Explanation Professor. Thank you
@williansuarez3988,"Buen video, hay otra opción a streamlit llamada taipy ¿que opinas?"
@shivayshakti6575,"Thanks professor, however its taking ages to render!"
@MannyBernabe,EPIC! Thank you!
@JamesRBentley,Excellent video !
@souravbarua3991,This is very helpful. Thank you.
@sohailshaikh9872,I have a problem to deploy a new app and have problem I'm App URL
@alxx736,Near the share button i have a github icon . I need to delete THAT
@ecityresident7909,hou to install packages using yml file for the deployed app
@user-ml8eu2di1o,"Thanks, learned a lot!"
@VelazDeportes8750,"Igot this error



Traceback (most recent call last):

  File ""/home/appuser/venv/lib/python3.9/site-packages/streamlit/runtime/scriptrunner/script_runner.py"", line 565, in _run_script

    exec(code, module.__dict__)

  File ""/app/spx/app.py"", line 7, in <module>

    excel_file = pd.ExcelFile(""SPXDATA.xlsx"")

  File ""/home/appuser/venv/lib/python3.9/site-packages/pandas/io/excel/_base.py"", line 1513, in __init__

    self._reader = self._engines[engine](self._io, storage_options=storage_options)

  File ""/home/appuser/venv/lib/python3.9/site-packages/pandas/io/excel/_openpyxl.py"", line 548, in __init__

    import_optional_dependency(""openpyxl"")

  File ""/home/appuser/venv/lib/python3.9/site-packages/pandas/compat/_optional.py"", line 145, in import_optional_dependency

    raise ImportError(msg)

ImportError: Missing optional dependency 'openpyxl'.  Use pip or conda to install openpyxl."
@nigereast3796,"Hey professor , could you shed some light on the requirements.txt documents , that is needed to be uploaded.also . I recently created a little app that uses ydata-profiling , but it throughs an error ""ModuleNotFound:"
@InteligenciadeNegocios,"Good Afternoon Professor, thank you for this example.

Can you please in the future make the same example but adding information from an excel file? Will be very helpful for me, i have tried this for a long time

Thank you!"
@NUKE_001,very good video
@NUKE_001,negative
@jackychan4640,Happy New Year
@hardroko,Thank you for sharing this
@pattamalaokarnchanakorn4888,Very good topics
@sigkalbar,awesome
@digithat6496,Awesome that's great. Is it recommended to do blogging with streamlit?
